iter	Passed	Remaining
0	167	166907
1	168	84208
2	171	56895
3	172	43008
4	174	34676
5	175	29107
6	178	25261
7	179	22281
8	182	20066
9	183	18201
10	186	16741
11	188	15509
12	190	14484
13	192	13584
14	194	12765
15	196	12054
16	197	11411
17	198	10836
18	201	10386
19	203	9972
20	204	9555
21	206	9173
22	207	8832
23	209	8509
24	210	8207
25	211	7930
26	213	7688
27	215	7491
28	217	7274
29	218	7069
30	220	6880
31	221	6700
32	222	6528
33	224	6369
34	225	6216
35	229	6132
36	230	6007
37	233	5901
38	234	5790
39	236	5669
40	237	5553
41	238	5444
42	239	5340
43	244	5313
44	246	5237
45	248	5149
46	249	5061
47	251	4987
48	252	4905
49	254	4833
50	256	4768
51	259	4731
52	261	4668
53	263	4612
54	264	4549
55	266	4486
56	267	4425
57	277	4513
58	279	4464
59	281	4408
60	282	4352
61	284	4299
62	290	4316
63	292	4274
64	293	4226
65	295	4179
66	297	4139
67	298	4095
68	301	4063
69	303	4038
70	305	3999
71	307	3958
72	308	3918
73	309	3878
74	311	3844
75	312	3805
76	314	3772
77	319	3773
78	320	3738
79	322	3704
80	323	3670
81	325	3638
82	325	3598
83	326	3564
84	332	3584
85	335	3565
86	336	3535
87	338	3505
88	339	3478
89	341	3449
90	342	3420
91	343	3395
92	346	3378
93	348	3360
94	350	3341
95	352	3319
96	353	3292
97	354	3265
98	356	3239
99	357	3215
100	358	3194
101	363	3196
102	364	3177
103	366	3157
104	369	3146
105	370	3125
106	372	3104
107	375	3105
108	377	3086
109	379	3067
110	380	3047
111	381	3028
112	384	3015
113	385	2995
114	386	2975
115	388	2957
116	389	2942
117	391	2928
118	393	2914
119	395	2896
120	396	2881
121	397	2862
122	398	2844
123	400	2826
124	401	2809
125	403	2799
126	405	2786
127	407	2772
128	408	2757
129	409	2742
130	411	2730
131	412	2715
132	414	2699
133	415	2684
134	417	2677
135	419	2666
136	421	2653
137	422	2640
138	424	2627
139	425	2615
140	427	2601
141	427	2585
142	429	2571
143	430	2558
144	432	2548
145	433	2538
146	435	2525
147	436	2513
148	437	2501
149	439	2488
150	440	2476
151	442	2466
152	443	2455
153	444	2442
154	446	2432
155	448	2426
156	450	2419
157	451	2408
158	453	2397
159	454	2388
160	455	2375
161	457	2365
162	458	2354
163	459	2343
164	461	2334
165	463	2329
166	465	2321
167	466	2311
168	468	2301
169	469	2292
170	470	2282
171	472	2273
172	473	2263
173	475	2254
174	477	2252
175	479	2245
176	480	2236
177	482	2228
178	483	2219
179	485	2211
180	486	2202
181	487	2192
182	489	2183
183	490	2176
184	492	2170
185	494	2164
186	496	2157
187	497	2148
188	498	2139
189	499	2131
190	501	2122
191	502	2114
192	503	2105
193	505	2100
194	507	2094
195	508	2086
196	510	2080
197	511	2073
198	513	2066
199	515	2061
200	517	2056
201	518	2050
202	522	2053
203	525	2049
204	526	2043
205	528	2038
206	530	2031
207	531	2024
208	532	2016
209	534	2009
210	536	2005
211	538	2003
212	541	2001
213	544	2000
214	546	1994
215	548	1989
216	553	1997
217	555	1993
218	557	1987
219	559	1983
220	560	1976
221	562	1970
222	563	1964
223	567	1965
224	569	1960
225	571	1958
226	574	1955
227	575	1949
228	577	1942
229	578	1937
230	583	1942
231	585	1939
232	587	1934
233	590	1932
234	592	1927
235	594	1924
236	598	1926
237	601	1924
238	604	1923
239	606	1920
240	608	1915
241	614	1923
242	615	1917
243	617	1912
244	619	1909
245	621	1904
246	623	1901
247	632	1917
248	634	1914
249	636	1910
250	640	1912
251	648	1925
252	650	1921
253	669	1965
254	673	1968
255	679	1974
256	683	1977
257	690	1985
258	698	1998
259	700	1993
260	702	1989
261	710	2000
262	713	1998
263	715	1994
264	719	1995
265	721	1991
266	729	2002
267	731	1998
268	733	1993
269	736	1989
270	742	1996
271	745	1994
272	748	1993
273	750	1989
274	755	1992
275	758	1989
276	760	1985
277	765	1987
278	767	1983
279	776	1995
280	778	1991
281	780	1987
282	782	1983
283	788	1988
284	791	1984
285	793	1979
286	794	1974
287	796	1969
288	799	1967
289	802	1963
290	804	1959
291	807	1957
292	809	1954
293	812	1952
294	815	1949
295	817	1944
296	819	1939
297	821	1934
298	822	1929
299	824	1923
300	826	1918
301	827	1912
302	831	1913
303	833	1908
304	835	1903
305	836	1897
306	838	1892
307	839	1886
308	841	1881
309	842	1875
310	845	1874
311	848	1870
312	850	1867
313	853	1865
314	855	1860
315	857	1855
316	858	1849
317	862	1848
318	864	1844
319	865	1839
320	866	1833
321	868	1828
322	869	1823
323	871	1818
324	873	1813
325	877	1814
326	879	1810
327	881	1805
328	882	1800
329	885	1796
330	887	1793
331	910	1831
332	912	1827
333	914	1823
334	916	1819
335	918	1814
336	919	1809
337	928	1817
338	930	1813
339	931	1808
340	933	1803
341	938	1805
342	939	1800
343	941	1795
344	943	1790
345	944	1785
346	945	1780
347	947	1774
348	948	1769
349	949	1764
350	952	1760
351	954	1757
352	956	1753
353	958	1748
354	959	1744
355	961	1739
356	962	1734
357	964	1729
358	966	1724
359	969	1723
360	971	1719
361	972	1714
362	973	1709
363	975	1704
364	976	1699
365	978	1694
366	979	1689
367	982	1686
368	983	1682
369	985	1678
370	987	1674
371	989	1670
372	990	1665
373	992	1660
374	993	1655
375	995	1651
376	997	1649
377	999	1645
378	1001	1641
379	1003	1636
380	1004	1631
381	1005	1627
382	1007	1622
383	1008	1618
384	1010	1614
385	1013	1612
386	1015	1607
387	1016	1603
388	1018	1599
389	1019	1595
390	1021	1590
391	1022	1586
392	1024	1582
393	1026	1578
394	1028	1575
395	1030	1571
396	1031	1566
397	1032	1562
398	1034	1557
399	1035	1553
400	1037	1549
401	1038	1545
402	1042	1544
403	1045	1542
404	1046	1538
405	1049	1535
406	1051	1531
407	1052	1527
408	1054	1523
409	1057	1521
410	1059	1519
411	1061	1515
412	1062	1510
413	1064	1506
414	1065	1501
415	1066	1497
416	1067	1492
417	1068	1488
418	1070	1484
419	1073	1482
420	1075	1478
421	1076	1474
422	1077	1469
423	1078	1465
424	1079	1461
425	1081	1456
426	1082	1452
427	1083	1448
428	1085	1444
429	1088	1442
430	1090	1439
431	1091	1435
432	1093	1431
433	1095	1428
434	1096	1424
435	1097	1420
436	1099	1416
437	1100	1412
438	1103	1409
439	1104	1405
440	1106	1402
441	1108	1399
442	1109	1395
443	1110	1391
444	1112	1387
445	1113	1382
446	1114	1378
447	1116	1376
448	1118	1372
449	1119	1368
450	1121	1364
451	1122	1361
452	1124	1357
453	1128	1356
454	1129	1352
455	1131	1349
456	1133	1346
457	1135	1343
458	1136	1339
459	1138	1336
460	1140	1334
461	1142	1330
462	1143	1326
463	1144	1322
464	1147	1320
465	1150	1317
466	1151	1314
467	1152	1310
468	1154	1307
469	1155	1303
470	1157	1299
471	1158	1295
472	1159	1291
473	1162	1289
474	1163	1286
475	1165	1282
476	1166	1279
477	1168	1275
478	1169	1272
479	1171	1269
480	1172	1265
481	1174	1261
482	1175	1258
483	1177	1255
484	1179	1252
485	1181	1250
486	1183	1246
487	1185	1243
488	1186	1239
489	1187	1236
490	1188	1232
491	1191	1229
492	1193	1226
493	1194	1223
494	1196	1220
495	1198	1217
496	1199	1213
